data_group,layer,k,basis_name,sample_selection_criteria,sample_selection_criteria_slug,val_auroc
butterfly,layer3,1,GradPCA,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.5
butterfly,layer3,1,PRCASortAbs,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.5
butterfly,layer3,1,PRCAPosDef,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.5
butterfly,layer3,16,PCA,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.8800727725028992
butterfly,layer3,16,GradPCA,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.792078971862793
butterfly,layer3,16,PRCAPosDef,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.7877045273780823
butterfly,layer3,16,PRCASortAbs,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.6443418264389038
butterfly,layer3,32,PCA,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9764374494552612
butterfly,layer3,32,PRCAPosDef,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9679564237594604
butterfly,layer3,32,GradPCA,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9339891672134399
butterfly,layer3,32,PRCASortAbs,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9184802174568176
butterfly,layer3,48,PCA,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9875845313072205
butterfly,layer3,48,PRCAPosDef,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9831904172897339
butterfly,layer3,48,PRCASortAbs,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9794079661369324
butterfly,layer3,48,GradPCA,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9585888981819153
butterfly,layer3,64,PCA,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9880349040031433
butterfly,layer3,64,PRCAPosDef,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9849270582199097
butterfly,layer3,64,PRCASortAbs,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9830686450004578
butterfly,layer3,64,GradPCA,"SelectNSamples(N=5, total=12812, [-1.01, 3.59])",select-5,0.9677268862724304
butterfly,layer3,1,PCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.5
butterfly,layer3,1,GradPCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.5
butterfly,layer3,1,PRCASortAbs,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.5
butterfly,layer3,1,PRCAPosDef,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.5
butterfly,layer3,16,PCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.8372460007667542
butterfly,layer3,16,PRCAPosDef,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.7797513008117676
butterfly,layer3,16,PRCASortAbs,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.7191110253334045
butterfly,layer3,16,GradPCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.6231918334960938
butterfly,layer3,32,PRCAPosDef,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9714611172676086
butterfly,layer3,32,PCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9686939716339111
butterfly,layer3,32,GradPCA,"SelectNSamples(N=10, total=12812, [-1.90, 5.19])",select-10,0.9646108746528625
